Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,44,0,270.0,312.21442954649154,224.15750002255663,889.6311999997124,528.0,3.2008255191936925,0.0,270,290,310,330,500,570,890,890,890,890,890
,Aggregated,44,0,270.0,312.21442954649154,224.15750002255663,889.6311999997124,528.0,3.2008255191936925,0.0,270,290,310,330,500,570,890,890,890,890,890
