github.com/AlDanial/cloc v 2.08  T=8.16 s (281.7 files/s, 99308.4 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                         blank        comment           code
.\backend\.deps\sqlalchemy\sql\dml.py                                                                          342            551            960
.\backend\.deps\sqlalchemy\testing\requirements.py                                                             467            525            953
.\backend\.deps\yaml\emitter.py                                                                                116             68            953
.\backend\.deps\celery\concurrency\asynpool.py                                                                 162            246            952
.\backend\.deps\dateutil\parser\_parser.py                                                                     284            387            942
.\web\src\layouts\MainLayout.tsx                                                                                40              9            940
.\backend\.deps\redis\client.py                                                                                183            378            939
.\backend\.deps\sqlalchemy\sql\lambdas.py                                                                      293            212            937
.\backend\.deps\sqlalchemy\sql\functions.py                                                                    588            680            931
.\backend\.deps\jinja2\environment.py                                                                          275            472            925
.\remaining_chinese.txt                                                                                          0              0            916
.\backend\.deps\_pytest\_code\code.py                                                                          207            220            910
.\backend\.deps\dateutil\tz\tz.py                                                                              386            555            908
.\web\src\pages\perf-test\PerformanceDashboard.tsx                                                              41             41            902
.\backend\.deps\sqlalchemy\orm\collections.py                                                                  360            377            890
.\backend\.deps\jinja2\filters.py                                                                              453            538            882
.\backend\.deps\sqlalchemy\sql\operators.py                                                                    803            938            882
.\backend\.deps\yaml\scanner.py                                                                                219            338            878
.\backend\.deps\redis\connection.py                                                                            177            286            873
.\backend\.deps\_pytest\assertion\rewrite.py                                                                   152            207            858
.\backend\.deps\redis\asyncio\connection.py                                                                    157            170            853
.\backend\.deps\jinja2\parser.py                                                                               109             88            852
.\backend\.deps\prompt_toolkit\application\application.py                                                      259            522            849
.\backend\migrations\versions\001_baseline.py                                                                   50             11            848
.\backend\.deps\sqlalchemy\engine\interfaces.py                                                                979           1646            846
.\backend\app\tasks.py                                                                                         142             73            839
.\README.md                                                                                                    219              0            838
.\backend\.deps\alembic\runtime\migration.py                                                                   224            284            838
.\backend\.deps\httpx\_models.py                                                                               154            226            834
.\backend\.deps\sqlalchemy\pool\base.py                                                                        311            382            831
.\backend\.deps\greenlet\greenlet_refs.hpp                                                                     169            178            825
